Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Zmiana
2019-04-02,56.19,56.39,56.15,56.27,226720
2019-04-03,56.51,56.79,56.51,56.75,459359
2019-04-04,56.58,56.66,56.48,56.55,222124
2019-04-05,56.71,57.01,56.66,56.815,273774
2019-04-08,57,57,56.67,56.79,650716
2019-04-09,56.83,56.95,56.59,56.65,191613
2019-04-10,56.65,56.77,56.58,56.75,154540
2019-04-11,56.83,56.91,56.7,56.75,260677
2019-04-12,56.9,57.17,56.73,57.04,373887
2019-04-15,57.16,57.22,57,57.08,328709
2019-04-16,57.23,57.36,57.14,57.22,207006
2019-04-17,57.28,57.45,57.08,57.08,1517632
2019-04-18,57.07,57.21,56.89,57.05,502190
2019-04-23,57.5,57.5,57.14,57.48,624223
2019-04-24,57.46,57.56,57.36,57.49,869143
2019-04-25,57.42,57.49,57.06,57.26,892768
2019-04-26,57.25,57.42,57.15,57.38,854263
2019-04-29,57.47,57.66,57.46,57.65,416962
2019-04-30,57.59,57.7,57.38,57.54,524108
2019-05-01,57.66,57.96,57.66,57.8,211451
2019-05-02,57.44,57.49,57.07,57.12,244413
2019-05-03,57.29,57.67,57.26,57.63,503199
2019-05-06,56.6101,57.67,56.6101,57.0616,134412
2019-05-07,57.3,57.34,56.48,56.58,474661
2019-05-08,56.57,56.72,56.2,56.54,319135
2019-05-09,56.23,56.23,55.55,55.69,151356
2019-05-10,56.19,56.28,55.49,55.55,121315
2019-05-13,55.94,55.99,55.15,55.15,416582
2019-05-14,55.55,55.69,55.29,55.68,395581
2019-05-15,55.75,55.92,55.23,55.92,402501
2019-05-16,55.87,56.55,55.79,56.55,126381
2019-05-17,56.32,56.46,55.93,56.33,717122
2019-05-20,56.28,56.31,55.56,55.86,283789
2019-05-21,55.94,56.23,55.85,56.11,519002
2019-05-22,56.11,56.19,55.86,56.055,197050
2019-05-23,55.66,55.66,55.21,55.3,230693
2019-05-24,55.64,55.78,55.48,55.55,337337
2019-05-28,55.77,55.82,55.5,55.51,315309
2019-05-29,55,55.06,54.62,54.63,476815
2019-05-30,54.82,55.05,54.8,54.85,215506
2019-05-31,54.6,54.6,54.19,54.5,2250161
2019-06-03,54.11,54.58,53.94,54.51,319710
2019-06-04,54.42,55.05,54.38,55.05,432293
2019-06-05,55.41,55.72,55.29,55.49,238755
2019-06-06,55.62,55.89,55.59,55.82,206615
2019-06-07,56.02,56.71,56.02,56.57,352300
2019-06-10,56.75,56.95,56.67,56.94,125848
2019-06-11,56.97,57.22,56.9,56.935,282480
2019-06-12,56.78,56.78,56.62,56.7,138550
2019-06-13,56.66,56.87,56.58,56.73,286029
2019-06-14,56.73,56.77,56.48,56.53,918991
2019-06-17,56.68,56.72,56.56,56.65,295924
2019-06-18,56.64,57.38,56.49,57.27,173170
2019-06-19,57.28,57.35,57.22,57.28,416107
2019-06-20,57.9,58.17,57.83,57.83,818547
2019-06-21,57.83,58.08,57.82,58.02,241399
2019-06-24,58.03,58.06,57.86,57.96,177559
2019-06-25,57.77,57.92,57.66,57.7,336507
2019-06-26,57.68,57.7,57.4,57.51,187641
2019-06-27,57.62,57.66,57.37,57.5,412722
2019-06-28,57.68,57.82,57.68,57.82,349316
2019-07-01,58.67,58.67,58.25,58.28,661247
2019-07-02,58.38,58.38,58.16,58.3,211019
2019-07-03,58.35,58.78,58.35,58.78,556940
2019-07-04,58.9,58.95,58.84,58.95,182237
2019-07-05,58.94,58.94,58.23,58.42,381833
2019-07-08,58.38,58.58,58.31,58.36,194795
2019-07-09,58.11,58.29,57.99,58.27,284257
2019-07-10,58.24,58.77,58.17,58.54,299115
2019-07-11,58.75,58.8,58.51,58.66,385778
2019-07-12,58.73,58.8,58.66,58.75,183776
2019-07-15,58.94,59.02,58.81,58.83,500541
2019-07-16,58.83,58.91,58.79,58.8,93183
2019-07-17,58.72,58.84,58.46,58.56,325407
2019-07-18,58.43,58.43,58.18,58.22,73807
2019-07-19,58.74,58.85,58.55,58.6,104333
2019-07-22,58.35,58.5,58.31,58.36,147705
2019-07-23,58.59,58.77,58.56,58.59,1129567
2019-07-24,58.8,58.87,58.61,58.81,415493
2019-07-25,59.06,59.16,58.7,58.76,436920
2019-07-26,58.78,58.91,58.73,58.91,1108285
2019-07-29,58.86,58.99,58.79,58.87,263859
2019-07-30,58.92,58.92,58.42,58.59,444336
2019-07-31,58.6,58.68,58.56,58.59,350867
2019-08-01,57.93,58.62,57.92,58.62,240648
2019-08-02,57.48,57.62,56.89,56.93,608547
2019-08-05,56.59,56.64,55.83,55.95,453773
2019-08-06,55.57,56.06,55.5,55.6,549550
2019-08-07,56.11,56.32,55.3,55.85,558514
2019-08-08,56.77,56.98,56.27,56.98,206322
2019-08-09,57.07,57.07,56.54,56.54,166128
2019-08-12,56.99,57.06,56.32,56.37,270797
2019-08-13,56.12,57.15,55.95,56.79,393709
2019-08-14,56.94,56.94,55.58,55.76,804914
2019-08-15,55.87,55.87,55,55.4,169626
2019-08-16,55.72,56.21,55.72,56.21,221643
2019-08-19,56.72,56.88,56.59,56.87,157001
2019-08-20,56.86,56.95,56.49,56.65,232467
2019-08-21,56.53,56.99,56.53,56.97,519594
2019-08-22,56.89,57.09,56.49,56.67,605603
2019-08-23,56.97,57.02,56.14,56.14,232865
2019-08-27,56.11,56.53,55.98,56.21,206334
2019-08-28,56.13,56.26,55.7,56.24,149401
2019-08-29,56.2,56.91,56.2,56.89,215551
2019-08-30,56.89,57.31,56.75,56.91,648818
2019-09-02,56.9,57,56.75,56.78,87117
2019-09-03,56.61,56.72,56.47,56.64,413694
2019-09-04,57.07,57.32,57.07,57.3,314785
2019-09-05,57.72,58.16,57.59,58.08,787832
2019-09-06,58.06,58.18,58.01,58.15,82166
2019-09-09,58.29,58.32,58.12,58.22,99320
2019-09-10,58.08,58.08,57.81,57.9,229275
2019-09-11,58.21,58.41,58.21,58.41,594815
2019-09-12,58.7,58.92,58.58,58.8,424652
2019-09-13,58.98,59.09,58.9,58.94,258714
2019-09-16,58.6,58.7,58.55,58.6,434274
2019-09-17,58.49,58.68,58.49,58.66,222214
2019-09-18,58.69,58.76,58.61,58.63,156853
2019-09-19,58.57,59.07,58.5,59.05,269825
2019-09-20,58.98,59.03,58.88,58.88,238918
2019-09-23,58.74,58.83,58.34,58.54,151309
2019-09-24,58.76,58.8,58.53,58.53,119623
2019-09-25,58.21,58.21,57.81,58.16,284321
2019-09-26,58.21,58.54,58.15,58.15,88931
2019-09-27,58.33,58.47,58.23,58.43,80518
2019-09-30,58.22,58.28,58.04,58.25,504070
2019-10-01,58.73,58.78,57.84,57.92,416765
2019-10-02,57.57,57.62,56.53,56.53,287943
2019-10-03,56.6,56.84,56.07,56.66,195956
2019-10-04,56.99,57.37,56.78,57.37,253096
2019-10-07,57.36,57.73,57.32,57.73,980738
2019-10-08,57.62,57.63,56.77,56.77,328149
2019-10-09,56.8,57.22,56.7,57.05,341624
2019-10-10,57.17,57.68,56.97,57.63,1009618
2019-10-11,57.81,58.68,57.72,58.68,163668
2019-10-14,58.4,58.4,57.97,58.23,203229
2019-10-15,58.5,58.94,58.35,58.82,219935
2019-10-16,58.79,58.82,58.61,58.73,100067
2019-10-17,58.64,59.1,58.64,58.85,112312
2019-10-18,58.85,58.92,58.67,58.77,60208
2019-10-21,58.85,59.08,58.78,59.03,196350
2019-10-22,59.13,59.19,58.95,59.16,1091486
2019-10-23,58.83,59.05,58.75,59.03,261797
2019-10-24,59.16,59.33,59.11,59.29,218292
2019-10-25,59.27,59.49,59.08,59.49,100010
2019-10-28,59.42,59.77,59.42,59.68,416316
2019-10-29,59.7,59.79,59.51,59.77,103075
2019-10-30,59.67,59.72,59.5,59.69,363877
2019-10-31,60,60,59.46,59.51,206181
2019-11-01,59.88,60.23,59.8,60.14,90643
2019-11-04,60.33,60.65,60.33,60.55,272264
2019-11-05,60.58,60.68,60.4,60.47,154482
2019-11-06,60.42,60.56,60.36,60.48,153010
2019-11-07,60.75,60.86,60.72,60.78,333191
2019-11-08,60.6,60.68,60.42,60.59,214514
2019-11-11,60.52,60.62,60.42,60.58,299268
